Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 1, 1, 1, 144, 13.1698, 24.7523, N/A, 0.959763, 0.959773, 0.037789, 7.18461, 64, 64, 0.140625, 1, 1, 1, 36.7527, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 144, 13.1698, 24.7523, N/A, 0.959763, 0.959773, 0.037789, 7.18461, 64, 64, 0.140625, 1, 1, 1, 36.7527, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 144, 13.1698, 24.7523, N/A, 0.959763, 0.959773, 0.037789, 7.18461, 64, 64, 0.140625, 1, 1, 1, 36.7527, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 144, 13.1698, 24.7523, N/A, 0.959763, 0.959773, 0.037789, 7.18461, 64, 64, 0.140625, 1, 1, 1, 36.7527, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1, 1, 1, 144, 13.1698, 24.7523, N/A, 0.959763, 0.959773, 0.037789, 7.18461, 64, 64, 0.140625, 1, 1, 1, 36.7527, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 8, 1, 144, 10.4417, 16.6497, N/A, 0.560506, 0.560515, 0.175831, 9.30289, 64, 32, 0.140625, 1, 1, 1, 22.3349, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 8, 1, 144, 10.7861, 16.725, N/A, 0.458778, 0.458787, 0.157401, 9.39462, 64, 32, 0.140625, 1, 1, 1, 22.1169, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 8, 1, 144, 10.7861, 16.725, N/A, 0.458778, 0.458787, 0.157401, 9.39462, 64, 32, 0.140625, 1, 1, 1, 22.1169, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 8, 1, 144, 10.7861, 16.725, N/A, 0.458778, 0.458787, 0.157401, 9.39462, 64, 32, 0.140625, 1, 1, 1, 22.1169, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 8, 1, 144, 13.5234, 24.3508, N/A, 0.972144, 0.97216, 0.0285814, 19.1328, 64, 32, 0.140625, 1, 1, 1, 34.4248, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 8, 1, 144, 13.5234, 24.3508, N/A, 0.972144, 0.97216, 0.0285814, 19.1328, 64, 32, 0.140625, 1, 1, 1, 34.4248, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 8, 1, 144, 13.5234, 24.3508, N/A, 0.972144, 0.97216, 0.0285814, 19.1328, 64, 32, 0.140625, 1, 1, 1, 34.4248, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
