Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 2, 1, 1, 576, 18.46, 25.9652, N/A, 1.43936, 1.43937, 0.0753304, 14.3299, 64, 128, 0.5625, 1, 1, 1, 36.8596, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2, 1, 1, 576, 18.46, 25.9652, N/A, 1.43936, 1.43937, 0.0753304, 14.3299, 64, 128, 0.5625, 1, 1, 1, 36.8596, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2, 1, 1, 576, 18.1688, 24.8394, N/A, 1.04989, 1.0499, 0.102226, 9.90321, 64, 128, 0.5625, 1, 1, 1, 33.2998, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2, 4, 1, 576, 12.2905, 23.7133, N/A, 0.699987, 0.699994, 0.0284066, 9.35049, 64, 32, 0.5625, 1, 1, 1, 35.2415, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2, 4, 1, 576, 12.2905, 23.7133, N/A, 0.699987, 0.699994, 0.0284066, 9.35049, 64, 32, 0.5625, 1, 1, 1, 35.2415, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2, 8, 1, 576, 11.4812, 23.4217, N/A, 0.610913, 0.610921, 0.0156307, 9.36009, 64, 16, 0.5625, 1, 1, 1, 35.1712, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2, 8, 1, 576, 11.4812, 23.4217, N/A, 0.610913, 0.610921, 0.0156307, 9.36009, 64, 16, 0.5625, 1, 1, 1, 35.1712, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2, 8, 1, 576, 11.4812, 23.4217, N/A, 0.610913, 0.610921, 0.0156307, 9.36009, 64, 16, 0.5625, 1, 1, 1, 35.1712, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2, 8, 1, 576, 11.4812, 23.4217, N/A, 0.610913, 0.610921, 0.0156307, 9.36009, 64, 16, 0.5625, 1, 1, 1, 35.1712, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
