Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.2522, 12.9972, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.2522, 12.9972, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 21.5583, 15.1725, N/A, 0.476753, 0.476758, 15.5825, 14.9126, 256, 256, 1, 1, 1, 1, 13.938, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
