Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
32, 2, 4, 1, 576, 3.65744e+08, 10.8542, N/A, 8.61194, 8.61197, 0.207357, 24.0675, 128, 512, 0.5625, 1, 1, 1, 13.6756, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2, 4, 1, 576, 12.4871, 23.7133, N/A, 3.03687, 3.03693, 0.0602933, 10.8067, 64, 32, 0.5625, 1, 1, 1, 30.3761, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2, 4, 1, 576, 12.4871, 23.7133, N/A, 3.03687, 3.03693, 0.0602933, 10.8067, 64, 32, 0.5625, 1, 1, 1, 30.3761, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2, 4, 1, 576, 12.4871, 23.7133, N/A, 3.03687, 3.03693, 0.0602933, 10.8067, 64, 32, 0.5625, 1, 1, 1, 30.3761, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2, 4, 1, 576, 12.4871, 23.7133, N/A, 3.03687, 3.03693, 0.0602933, 10.8067, 64, 32, 0.5625, 1, 1, 1, 30.3761, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2, 4, 1, 576, 12.4871, 23.7133, N/A, 3.03687, 3.03693, 0.0602933, 10.8067, 64, 32, 0.5625, 1, 1, 1, 30.3761, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2, 4, 1, 576, 12.4871, 23.7133, N/A, 3.03687, 3.03693, 0.0602933, 10.8067, 64, 32, 0.5625, 1, 1, 1, 30.3761, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2, 4, 1, 576, 12.4871, 23.7133, N/A, 3.03687, 3.03693, 0.0602933, 10.8067, 64, 32, 0.5625, 1, 1, 1, 30.3761, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
