Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
32, 16, 4, 1, 576, 1.83117e+08, 19.6603, N/A, 8.27448, 8.27449, 0.406973, 96.5183, 128, 512, 0.5625, 1, 1, 1, 27.3322, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 4, 1, 576, 24.7731, 30.6011, N/A, 5.28213, 5.28216, 0.166522, 60.7034, 64, 128, 0.5625, 1, 1, 1, 43.4508, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 4, 1, 576, 24.7731, 30.6011, N/A, 5.28213, 5.28216, 0.166522, 60.7034, 64, 128, 0.5625, 1, 1, 1, 43.4508, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 4, 1, 576, 24.7731, 30.6011, N/A, 5.28213, 5.28216, 0.166522, 60.7034, 64, 128, 0.5625, 1, 1, 1, 43.4508, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 4, 1, 576, 24.7731, 30.6011, N/A, 5.28213, 5.28216, 0.166522, 60.7034, 64, 128, 0.5625, 1, 1, 1, 43.4508, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 4, 1, 576, 24.7731, 30.6011, N/A, 5.28213, 5.28216, 0.166522, 60.7034, 64, 128, 0.5625, 1, 1, 1, 43.4508, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 4, 1, 576, 24.7731, 30.6011, N/A, 5.28213, 5.28216, 0.166522, 60.7034, 64, 128, 0.5625, 1, 1, 1, 43.4508, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 4, 1, 576, 24.7731, 30.6011, N/A, 5.28213, 5.28216, 0.166522, 60.7034, 64, 128, 0.5625, 1, 1, 1, 43.4508, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 4, 1, 576, 24.7731, 30.6011, N/A, 5.28213, 5.28216, 0.166522, 60.7034, 64, 128, 0.5625, 1, 1, 1, 43.4508, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
