Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 4, 1, 1, 576, 24.7195, 14.5073, N/A, 0.495383, 0.495388, 20.3703, 16.0587, 256, 512, 1, 1, 1, 1, 12.9433, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 24.7195, 14.5073, N/A, 0.495383, 0.495388, 20.3703, 16.0587, 256, 512, 1, 1, 1, 1, 12.9433, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 24.7195, 14.5073, N/A, 0.495383, 0.495388, 20.3703, 16.0587, 256, 512, 1, 1, 1, 1, 12.9433, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 24.7195, 14.5073, N/A, 0.495383, 0.495388, 20.3703, 16.0587, 256, 512, 1, 1, 1, 1, 12.9433, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 23.219, 12.2496, N/A, 0.495383, 0.495388, 20.3703, 16.0587, 256, 512, 1, 1, 1, 1, 12.9433, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 23.219, 12.2496, N/A, 0.495383, 0.495388, 20.3703, 16.0587, 256, 512, 1, 1, 1, 1, 12.9433, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 24.7195, 14.5073, N/A, 0.495383, 0.495388, 20.3703, 16.0587, 256, 512, 1, 1, 1, 1, 12.9433, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 24.7195, 14.5073, N/A, 0.495383, 0.495388, 20.3703, 16.0587, 256, 512, 1, 1, 1, 1, 12.9433, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 24.7195, 14.5073, N/A, 0.495383, 0.495388, 20.3703, 16.0587, 256, 512, 1, 1, 1, 1, 12.9433, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 24.7195, 14.5073, N/A, 0.495383, 0.495388, 20.3703, 16.0587, 256, 512, 1, 1, 1, 1, 12.9433, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 24.7195, 14.5073, N/A, 0.495383, 0.495388, 20.3703, 16.0587, 256, 512, 1, 1, 1, 1, 12.9433, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 24.7195, 14.5073, N/A, 0.495383, 0.495388, 20.3703, 16.0587, 256, 512, 1, 1, 1, 1, 12.9433, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 24.7195, 14.5073, N/A, 0.495383, 0.495388, 20.3703, 16.0587, 256, 512, 1, 1, 1, 1, 12.9433, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 24.7195, 14.5073, N/A, 0.495383, 0.495388, 20.3703, 16.0587, 256, 512, 1, 1, 1, 1, 12.9433, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 24.7195, 14.5073, N/A, 0.495383, 0.495388, 20.3703, 16.0587, 256, 512, 1, 1, 1, 1, 12.9433, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
