Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
32, 16, 2, 1, 576, 1.50962e+08, 23.2396, N/A, 20.1069, 20.107, 0.404516, 46.4548, 32, 512, 0.5625, 1, 1, 1, 28.386, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 2, 1, 576, 36.5635, 28.8324, N/A, 14.4707, 14.4708, 0.401065, 47.7505, 64, 256, 0.5625, 1, 1, 1, 27.6162, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 2, 1, 576, 36.5635, 28.8324, N/A, 14.4707, 14.4708, 0.401065, 47.7505, 64, 256, 0.5625, 1, 1, 1, 27.6162, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 2, 1, 576, 36.5635, 28.8324, N/A, 14.4707, 14.4708, 0.401065, 47.7505, 64, 256, 0.5625, 1, 1, 1, 27.6162, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 2, 1, 576, 36.5635, 28.8324, N/A, 14.4707, 14.4708, 0.401065, 47.7505, 64, 256, 0.5625, 1, 1, 1, 27.6162, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 2, 1, 576, 36.5635, 28.8324, N/A, 14.4707, 14.4708, 0.401065, 47.7505, 64, 256, 0.5625, 1, 1, 1, 27.6162, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 2, 1, 576, 36.5635, 28.8324, N/A, 14.4707, 14.4708, 0.401065, 47.7505, 64, 256, 0.5625, 1, 1, 1, 27.6162, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 2, 1, 576, 36.5635, 28.8324, N/A, 14.4707, 14.4708, 0.401065, 47.7505, 64, 256, 0.5625, 1, 1, 1, 27.6162, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
