Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
32, 16, 2, 1, 576, 7.26683e+07, 68.3567, N/A, 20.8504, 20.8509, 0.335233, 53.5651, 4, 512, 0.5625, 1, 1, 1, 49.251, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 2, 1, 576, 89.5423, 34.4143, N/A, 14.4432, 14.4432, 0.588573, 83.9092, 64, 512, 0.5625, 1, 1, 1, 31.4434, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 2, 1, 576, 89.5423, 34.4143, N/A, 14.4432, 14.4432, 0.588573, 83.9092, 64, 512, 0.5625, 1, 1, 1, 31.4434, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 2, 1, 576, 89.5423, 34.4143, N/A, 14.4432, 14.4432, 0.588573, 83.9092, 64, 512, 0.5625, 1, 1, 1, 31.4434, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 2, 1, 576, 89.5423, 34.4143, N/A, 14.4432, 14.4432, 0.588573, 83.9092, 64, 512, 0.5625, 1, 1, 1, 31.4434, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 2, 1, 576, 89.5423, 34.4143, N/A, 14.4432, 14.4432, 0.588573, 83.9092, 64, 512, 0.5625, 1, 1, 1, 31.4434, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 2, 1, 576, 89.5423, 34.4143, N/A, 14.4432, 14.4432, 0.588573, 83.9092, 64, 512, 0.5625, 1, 1, 1, 31.4434, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 2, 1, 576, 89.5423, 34.4143, N/A, 14.4432, 14.4432, 0.588573, 83.9092, 64, 512, 0.5625, 1, 1, 1, 31.4434, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
