Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 19.5487, 17.1533, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 19.5487, 17.1533, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 1, 1, 576, 20.3987, 18.7353, N/A, 0.467433, 0.467438, 14.9384, 14.3365, 256, 128, 1, 1, 1, 1, 14.4979, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
