Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
32, 4, 1, 1, 576, 3.42878e+08, 20.0559, N/A, 4.90871, 4.90877, 0.137812, 19.8183, 32, 512, 0.5625, 1, 1, 1, 33.276, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 21.5808, 27.9438, N/A, 2.89419, 2.89421, 0.219825, 21.067, 128, 128, 0.5625, 1, 1, 1, 31.3043, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 21.5808, 27.9438, N/A, 2.89419, 2.89421, 0.219825, 21.067, 128, 128, 0.5625, 1, 1, 1, 31.3043, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 21.5808, 27.9438, N/A, 2.89419, 2.89421, 0.219825, 21.067, 128, 128, 0.5625, 1, 1, 1, 31.3043, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 21.5808, 27.9438, N/A, 2.89419, 2.89421, 0.219825, 21.067, 128, 128, 0.5625, 1, 1, 1, 31.3043, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 21.5808, 27.9438, N/A, 2.89419, 2.89421, 0.219825, 21.067, 128, 128, 0.5625, 1, 1, 1, 31.3043, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 21.5808, 27.9438, N/A, 2.89419, 2.89421, 0.219825, 21.067, 128, 128, 0.5625, 1, 1, 1, 31.3043, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 1, 1, 576, 21.5808, 27.9438, N/A, 2.89419, 2.89421, 0.219825, 21.067, 128, 128, 0.5625, 1, 1, 1, 31.3043, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
