Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
32, 4, 8, 1, 576, 2.75899e+08, 14.5558, N/A, 5.73682, 5.73685, 0.110702, 54.8636, 64, 512, 0.5625, 1, 1, 1, 12.0123, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 8, 1, 576, 14.8389, 26.6522, N/A, 1.45612, 1.45614, 0.0381451, 19.4245, 128, 16, 0.5625, 1, 1, 1, 33.8659, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 8, 1, 576, 14.8389, 26.6522, N/A, 1.45612, 1.45614, 0.0381451, 19.4245, 128, 16, 0.5625, 1, 1, 1, 33.8659, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 8, 1, 576, 14.8389, 26.6522, N/A, 1.45612, 1.45614, 0.0381451, 19.4245, 128, 16, 0.5625, 1, 1, 1, 33.8659, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 8, 1, 576, 14.8389, 26.6522, N/A, 1.45612, 1.45614, 0.0381451, 19.4245, 128, 16, 0.5625, 1, 1, 1, 33.8659, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 8, 1, 576, 14.8389, 26.6522, N/A, 1.45612, 1.45614, 0.0381451, 19.4245, 128, 16, 0.5625, 1, 1, 1, 33.8659, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 8, 1, 576, 14.8389, 26.6522, N/A, 1.45612, 1.45614, 0.0381451, 19.4245, 128, 16, 0.5625, 1, 1, 1, 33.8659, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 8, 1, 576, 14.8389, 26.6522, N/A, 1.45612, 1.45614, 0.0381451, 19.4245, 128, 16, 0.5625, 1, 1, 1, 33.8659, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
