Total memory size (Gb)	Stacked die count	Page size	Chip IO width	Activation energy	Area efficiency	Precharge energy	Read energy	TSV area overhead	TSV energy overhead per access	TSV latency overhead	Write energy	t_CAS	t_RAS	t_RC	t_RCD	t_RP	t_RRD
"	1.0	 "	"	4	 "	"	32768	 "	"	128	 "	"	1.08691	 "	"	41.1277	 "	"	1.00571	 "	"	0.819486	 "	"	0.002352	 "	"	0.0831009	 "	"	0.722927	 "	"	0.81949	 "	"	6	 "	"	15	 "	"	18	 "	"	12	 "	"	4	 "	"	1	 "
"	2.0	 "	"	8	 "	"	16384	 "	"	256	 "	"	1.4939	 "	"	33.1316	 "	"	1.44605	 "	"	1.36056	 "	"	0.003888	 "	"	0.601215	 "	"	2.13873	 "	"	1.36057	 "	"	9	 "	"	14	 "	"	18	 "	"	9	 "	"	7	 "	"	3	 "
"	1.0	 "	"	4	 "	"	16384	 "	"	64	 "	"	0.942358	 "	"	44.0041	 "	"	0.892502	 "	"	0.684797	 "	"	0.001584	 "	"	0.0502709	 "	"	0.722927	 "	"	0.684801	 "	"	6	 "	"	12	 "	"	18	 "	"	8	 "	"	6	 "	"	1	 "
"	2.0	 "	"	8	 "	"	16384	 "	"	64	 "	"	1.09526	 "	"	44.0041	 "	"	1.0454	 "	"	0.837695	 "	"	0.001584	 "	"	0.203169	 "	"	2.13873	 "	"	0.837699	 "	"	9	 "	"	14	 "	"	19	 "	"	9	 "	"	7	 "	"	3	 "
"	2.0	 "	"	8	 "	"	32768	 "	"	256	 "	"	1.22502	 "	"	35.5282	 "	"	1.14289	 "	"	1.45126	 "	"	0.003888	 "	"	0.601215	 "	"	2.13873	 "	"	1.45127	 "	"	9	 "	"	15	 "	"	17	 "	"	13	 "	"	4	 "	"	2	 "
"	4.0	 "	"	4	 "	"	16384	 "	"	64	 "	"	0.998591	 "	"	44.137	 "	"	0.893528	 "	"	1.16164	 "	"	0.001632	 "	"	0.0512969	 "	"	0.722927	 "	"	1.16164	 "	"	12	 "	"	14	 "	"	19	 "	"	8	 "	"	6	 "	"	2	 "
"	4.0	 "	"	4	 "	"	32768	 "	"	64	 "	"	1.83763	 "	"	44.6667	 "	"	1.73576	 "	"	1.42463	 "	"	0.001632	 "	"	0.0512969	 "	"	0.722927	 "	"	1.42463	 "	"	8	 "	"	18	 "	"	23	 "	"	13	 "	"	6	 "	"	2	 "
"	2.0	 "	"	8	 "	"	8192	 "	"	64	 "	"	0.674977	 "	"	34.3759	 "	"	0.625585	 "	"	0.803824	 "	"	0.001584	 "	"	0.203169	 "	"	2.13873	 "	"	0.803828	 "	"	10	 "	"	12	 "	"	16	 "	"	7	 "	"	7	 "	"	3	 "
"	4.0	 "	"	4	 "	"	32768	 "	"	512	 "	"	2.06744	 "	"	41.4897	 "	"	1.96557	 "	"	2.14281	 "	"	0.007008	 "	"	0.281107	 "	"	0.722927	 "	"	2.14282	 "	"	8	 "	"	18	 "	"	23	 "	"	13	 "	"	6	 "	"	2	 "
"	4.0	 "	"	8	 "	"	32768	 "	"	128	 "	"	1.34708	 "	"	41.2838	 "	"	1.26053	 "	"	1.21451	 "	"	0.002368	 "	"	0.337924	 "	"	2.13873	 "	"	1.21451	 "	"	9	 "	"	16	 "	"	19	 "	"	14	 "	"	5	 "	"	3	 "
"	2.0	 "	"	4	 "	"	8192	 "	"	512	 "	"	0.789914	 "	"	27.7735	 "	"	0.70301	 "	"	3.13515	 "	"	0.006976	 "	"	0.280594	 "	"	0.722927	 "	"	3.13518	 "	"	11	 "	"	11	 "	"	16	 "	"	6	 "	"	6	 "	"	2	 "
"	1.0	 "	"	4	 "	"	8192	 "	"	256	 "	"	0.620569	 "	"	31.0752	 "	"	0.571177	 "	"	1.17666	 "	"	0.003888	 "	"	0.148761	 "	"	0.722927	 "	"	1.17668	 "	"	8	 "	"	10	 "	"	15	 "	"	6	 "	"	6	 "	"	2	 "
"	1.0	 "	"	8	 "	"	8192	 "	"	1024	 "	"	2.64544	 "	"	21.3926	 "	"	2.61374	 "	"	4.08595	 "	"	0.013072	 "	"	2.19133	 "	"	2.13873	 "	"	4.08601	 "	"	9	 "	"	11	 "	"	16	 "	"	7	 "	"	7	 "	"	3	 "
"	4.0	 "	"	4	 "	"	8192	 "	"	128	 "	"	0.672762	 "	"	33.3579	 "	"	0.506543	 "	"	1.78815	 "	"	0.0024	 "	"	0.0841269	 "	"	0.722927	 "	"	1.78816	 "	"	23	 "	"	13	 "	"	18	 "	"	7	 "	"	6	 "	"	3	 "
"	4.0	 "	"	8	 "	"	8192	 "	"	512	 "	"	1.64334	 "	"	27.7735	 "	"	1.55643	 "	"	3.98857	 "	"	0.006976	 "	"	1.13402	 "	"	2.13873	 "	"	3.9886	 "	"	13	 "	"	12	 "	"	17	 "	"	7	 "	"	7	 "	"	3	 "
"	1.0	 "	"	4	 "	"	8192	 "	"	64	 "	"	0.522079	 "	"	34.3759	 "	"	0.472687	 "	"	0.650926	 "	"	0.001584	 "	"	0.0502709	 "	"	0.722927	 "	"	0.65093	 "	"	8	 "	"	10	 "	"	15	 "	"	6	 "	"	6	 "	"	2	 "
